Suburb;kl in month
ADMIRALS PARK;6
ADRIAANSE;7
AMANDA GLEN;6
AMANDELRUG;5
AMANDELSIG;6
ANCHORAGE PARK;6
ANNANDALE;6
ANTILLES/CAYMAN BEACH;4
ARAUNA;6
ASANDA;9
ATHLONE;7
AUDAS ESTATE;6
AURORA;6
AUSTINVILLE;7
AVON;8
AVONDALE - PAROW;6
AVONDALE - WESFLEUR;8
AVONWOOD;9
BALVENIE;8
BANTRY BAY;9
BARONETCY ESTATE;8
BEACON HILL;8
BEACON VALLEY;9
BEL'AIRE;7
BELGRAVIA;8
BELGRAVIA -BELLVILLE;5
BELHAR EXT 1;7
BELHAR EXT 10;8
BELHAR EXT 11;8
BELHAR EXT 12;9
BELHAR EXT 13;8
BELHAR EXT 14;8
BELHAR EXT 16;8
BELHAR EXT 17;7
BELHAR EXT 18;8
BELHAR EXT 19;8
BELHAR EXT 2;8
BELHAR EXT 20;8
BELHAR EXT 21;7
BELHAR EXT 22;7
BELHAR EXT 23;8
BELHAR EXT 3;8
BELHAR EXT 4;8
BELHAR EXT 5;7
BELHAR EXT 6;6
BELHAR EXT 7;7
BELHAR EXT 9;8
BELL GLEN;8
BELLAIR;5
BELLVILLE SOUTH;8
BELMONT PARK;8
BELRAIL;9
BELTHORN ESTATE;7
BERGVLIET;5
BETHANIE;5
BIG BAY;6
BISHOP LAVIS;8
BISHOPSCOURT;7
BIZWENI;3
BLAAUWBERGSTRAND;6
BLOEKOMBOS;9
BLOEMHOF;6
BLOMMENDAL;5
BLOMTUIN;6
BLOUBERG RISE;5
BLOUBERG SANDS;5
BLOUBERGRANT;6
BLUE DOWNS CBD;6
BO OAKDALE;5
BO-KAAP;9
BONNIE BRAE;5
BONNIE BROOK;6
BONTEHEUWEL;7
BOSBELL;7
BOSONIA;7
BOSTON;6
BOTHASIG;6
BRACKEN HEIGHTS;6
BRACKENFELL SOUTH;5
BRANDWAG;6
BRANTWOOD;6
BRENTWOOD PARK - BLUE DOWNS;8
BRIDGEBANK;5
BRIDGETOWN;8
BRIZA;5
BROADLANDS PARK;7
BROADLANDS VILLAGE;7
BROOKLYN;7
BUH-REIN ESTATE;6
BURGUNDY;5
BURGUNDY ESTATE;7
CAMELOT;7
CAMPS BAY / BAKOVEN;8
CAPE FARMS - DISTRICT B;6
CAPE TOWN CITY CENTRE;6
CAREY PARK;9
CENTURY CITY;5
CHANTECLER;5
CHARLESVILLE;7
CHRIS HANI PARK;6
CHRIS NISSEN PARK;6
CHRISMAR;6
CHURCHILL ESTATE;6
CLAMHALL;6
CLAREMONT;5
CLARKES ESTATE;8
CLIFTON;9
CLOVELLY;4
COLORADO PARK;8
CONNAUGHT;7
CONSTANTIA;6
CRAVENBY;9
CRAWFORD;7
CROSSROADS;7
CROYDON;6
DANARAND;7
DE DUIN;7
DE KUILEN;7
DE LA HAYE;6
DE OUDE SPRUIT;6
DE TIJGER;6
DE WIJNLANDEN ESTATE;6
DEACONVILLE;7
DELFT 1 & 2;7
DELFT 3;7
DELFT 4;8
DELFT 5;7
DELFT 6;8
DELFT 7;9
DELFT 8;9
DELFT 9;9
DELFT SOUTH;8
DENNEGEUR;6
DENNEMERE;7
DES HAMPDEN;6
DIE WINGERD;6
DIEP RIVER;4
DOBSON;6
DOOR DE KRAAL;5
DORHILL;7
DRIFTSANDS;9
DUNOON;9
D'URBANVALE;7
DURBANVILLE;6
DURBANVILLE HILLS;6
DURBELL;6
DURMONTE;7
EAGLE PARK;7
EASTRIDGE;9
EDENPARK;5
EDGEMEAD;5
EERSTERIVIER;7
EERSTERIVIER SOUTH;7
EIKENBOSCH KUILS RIVER;5
EIKENDAL;8
EINDHOVEN;7
EKUPHUMULENI;8
ELECTRIC CITY;9
ELFINDALE;6
ELIM;6
ELNOR;9
ELSIES RIVER;8
EPPING FOREST;8
ERINVALE ESTATE;4
EUREKA ESTATE;7
EVERGLEN;6
EVERSDAL;6
EVERSDAL HEIGHTS;6
EYETHU;7
FAIRDALE;7
FAIRFIELD ESTATE;7
FAIRVIEW GOLF ESTATE;5
FERNDALE;6
FIRGROVE;8
FISANTEKRAAL;8
FISH HOEK;4
FLAMINGO VLEI;6
FLORIDA;9
FOREST HEIGHTS;8
FOREST VILLAGE;8
FOUNTAIN VILLAGE;6
FRAAIGELEGEN;5
FRESNAYE;9
GARDEN VILLAGE;9
GARDENS;6
GATESVILLE;9
GAYLEE;8
